k,AR,RE,GT
0.2,0.25,1,22.68
0.2,0.33,1,14.99
0.2,0.33,2,26.52
0.2,0.33,2.5,35.44
0.2,0.33,2.7,47.18
0.2,0.33,2.8,60.86
0.2,0.5,2,11.43
0.2,0.5,3,13.01
0.2,0.5,4,17.01
0.2,0.5,5,20.3
0.2,0.5,6,26.75
0.2,0.5,7,53.37
0.2,0.5,7.2,84.83
0.2,0.5,7.25,106.56
0.2,0.5,7.29,146.81
0.2,0.65,5,11.23
0.2,0.65,10,13.79
0.2,0.65,12,15.12
0.2,0.65,15,17.96
0.2,0.65,18,23.97
0.2,0.65,18.5,27.05
0.2,0.65,19,31.89
0.2,0.65,19.2,36.19
0.2,0.65,19.3,40.82
0.2,0.65,19.4,52.47
0.2,0.75,30,16.23
0.2,0.75,35,18.41
0.2,0.75,40,21.85
0.2,0.75,45,32.54
0.2,0.75,45.6,33.53
0.2,0.75,45.9,38.33
0.33,0.25,1,18.46
0.33,0.25,2,41.13
0.33,0.25,2.1,55.11
0.33,0.25,2.2,78.5
0.33,0.33,1,13.58
0.33,0.33,2,19.05
0.33,0.33,3,43.68
0.33,0.33,3.1,56.91
0.33,0.33,3.2,80.05
0.33,0.33,3.3,233.52
0.33,0.5,1,9.19
0.33,0.5,2,10.45
0.33,0.5,3,11.95
0.33,0.5,4,14.03
0.33,0.5,5,16.41
0.33,0.5,6,21.55
0.33,0.5,7,30.05
0.33,0.5,7.3,35.54
0.33,0.5,7.6,45.89
0.33,0.5,7.9,77.86
0.33,0.5,8,122.05
0.33,0.65,5,10.2
0.33,0.65,10,13.18
0.33,0.65,15,16.82
0.33,0.65,18,23.44
0.33,0.65,18.2,24.4
0.33,0.65,18.4,25.68
0.33,0.65,18.6,26.61
0.33,0.65,18.8,27.7
0.33,0.65,19,29.02
0.33,0.65,19.2,30.74
0.33,0.65,19.4,33.12
0.33,0.65,19.6,36.95
0.33,0.65,19.8,45.67
0.33,0.65,19.85,51.73
0.33,0.75,30,16.04
0.33,0.75,35,18.01
0.33,0.75,40,21.26
0.33,0.75,45,33.33
0.33,0.75,45.2,38.1
0.33,0.75,45.3,45.36
0.4,0.25,2,32.75
0.4,0.25,2.1,36.09
0.4,0.25,2.2,40.59
0.4,0.25,2.3,42.77
0.4,0.25,2.4,50.99
0.4,0.25,2.5,110.89
0.4,0.33,2,17.7
0.4,0.33,3,29.18
0.4,0.33,3.5,56.62
0.4,0.33,3.6,95.32
0.4,0.5,2,10.25
0.4,0.5,3,11.36
0.4,0.5,4,13.02
0.4,0.5,5,14.88
0.4,0.5,6,18.16
0.4,0.5,7,22.95
0.4,0.5,8,35.96
0.4,0.5,8.1,38.89
0.4,0.5,8.4,55.46
0.4,0.5,8.5,68.85
0.4,0.5,8.6,103.65
0.4,0.65,5,9.73
0.4,0.65,10,12.89
0.4,0.65,15,16.22
0.4,0.65,20,24.66
0.4,0.65,20.2,25.53
0.4,0.65,20.5,27.14
0.4,0.65,20.8,29.33
0.4,0.65,21.1,32.85
0.4,0.65,21.4,40.91
0.4,0.65,21.5,49.7
0.4,0.75,30,15.53
0.4,0.75,35,17.77
0.4,0.75,40,20.49
0.4,0.75,45,31.06
0.4,0.75,46.5,34.9
0.4,0.75,46.7,38.23
